"Biomass","Phase","Region","Size"
13.6872447899734,"GI-13","Eurosiberian","Small"
12.6602087682242,"GS-13","Eurosiberian","Small"
12.3913828703897,"GI-12","Eurosiberian","Small"
6.94842708526805,"GS-12","Eurosiberian","Small"
15.5035005079864,"GI-11","Eurosiberian","Small"
12.9826594993777,"GS-11","Eurosiberian","Small"
15.4791851143874,"GI-10","Eurosiberian","Small"
12.0223426324189,"GS-10","Eurosiberian","Small"
14.4619495334288,"GI-9","Eurosiberian","Small"
11.1409616834418,"GS-9","Eurosiberian","Small"
15.6264114694009,"GI-8","Eurosiberian","Small"
12.8243080180616,"GS-8","Eurosiberian","Small"
14.5335017327617,"GI-7","Eurosiberian","Small"
8.44171852822086,"GS-7","Eurosiberian","Small"
13.6821722401096,"GI-6","Eurosiberian","Small"
4.88086713047826,"GS-6","Eurosiberian","Small"
14.6175694346518,"GI-5","Eurosiberian","Small"
10.855516618944,"GS-5","Eurosiberian","Small"
55.9335247650465,"GI-13","ThermoMediterranean","Small"
51.5015539724792,"GS-13","ThermoMediterranean","Small"
44.8805986345372,"GI-12","ThermoMediterranean","Small"
43.5987993974479,"GS-12","ThermoMediterranean","Small"
56.7348680104508,"GI-11","ThermoMediterranean","Small"
57.2229879728085,"GS-11","ThermoMediterranean","Small"
54.3406880049529,"GI-10","ThermoMediterranean","Small"
54.454023970673,"GS-10","ThermoMediterranean","Small"
52.90160935456,"GI-9","ThermoMediterranean","Small"
55.1070165104292,"GS-9","ThermoMediterranean","Small"
52.1722375107681,"GI-8","ThermoMediterranean","Small"
53.1547591653807,"GS-8","ThermoMediterranean","Small"
52.8173030861258,"GI-7","ThermoMediterranean","Small"
49.394240179359,"GS-7","ThermoMediterranean","Small"
50.5834384942011,"GI-6","ThermoMediterranean","Small"
47.4758038276943,"GS-6","ThermoMediterranean","Small"
57.8852885811248,"GI-5","ThermoMediterranean","Small"
51.3342721687781,"GS-5","ThermoMediterranean","Small"
30.1149315497443,"GI-13","MesoMediterranean","Small"
30.2910707662684,"GS-13","MesoMediterranean","Small"
27.4426998924818,"GI-12","MesoMediterranean","Small"
24.0778099233073,"GS-12","MesoMediterranean","Small"
32.2064379032448,"GI-11","MesoMediterranean","Small"
29.7230687673189,"GS-11","MesoMediterranean","Small"
31.299287673117,"GI-10","MesoMediterranean","Small"
28.1438916314271,"GS-10","MesoMediterranean","Small"
31.8344336363325,"GI-9","MesoMediterranean","Small"
28.9839387366857,"GS-9","MesoMediterranean","Small"
35.5201815152486,"GI-8","MesoMediterranean","Small"
34.4637766767127,"GS-8","MesoMediterranean","Small"
35.2552243748628,"GI-7","MesoMediterranean","Small"
34.5903293070463,"GS-7","MesoMediterranean","Small"
40.9991972801152,"GI-6","MesoMediterranean","Small"
34.227247845367,"GS-6","MesoMediterranean","Small"
44.2342728268496,"GI-5","MesoMediterranean","Small"
40.6723314003776,"GS-5","MesoMediterranean","Small"
37.8022397806075,"GI-13","SubMediterranean","Small"
31.097428036626,"GS-13","SubMediterranean","Small"
33.2019901981818,"GI-12","SubMediterranean","Small"
17.8129957650155,"GS-12","SubMediterranean","Small"
36.5588602036347,"GI-11","SubMediterranean","Small"
27.3439568266811,"GS-11","SubMediterranean","Small"
37.0328621943043,"GI-10","SubMediterranean","Small"
23.8132267011536,"GS-10","SubMediterranean","Small"
31.6198578759284,"GI-9","SubMediterranean","Small"
21.967577987736,"GS-9","SubMediterranean","Small"
35.3815530907437,"GI-8","SubMediterranean","Small"
25.3396729011402,"GS-8","SubMediterranean","Small"
34.2153670788067,"GI-7","SubMediterranean","Small"
16.8433525307065,"GS-7","SubMediterranean","Small"
32.1499168518409,"GI-6","SubMediterranean","Small"
17.3209593153372,"GS-6","SubMediterranean","Small"
39.6290317729066,"GI-5","SubMediterranean","Small"
31.1970307302392,"GS-5","SubMediterranean","Small"
168.004101161579,"GI-13","Eurosiberian","Medium"
155.39774638805,"GS-13","Eurosiberian","Medium"
152.098042610725,"GI-12","Eurosiberian","Medium"
85.2884758664051,"GS-12","Eurosiberian","Medium"
190.297733961065,"GI-11","Eurosiberian","Medium"
159.355668240665,"GS-11","Eurosiberian","Medium"
189.99927463571,"GI-10","Eurosiberian","Medium"
147.568257805667,"GS-10","Eurosiberian","Medium"
177.513215383397,"GI-9","Eurosiberian","Medium"
136.749746382366,"GS-9","Eurosiberian","Medium"
191.806404691531,"GI-8","Eurosiberian","Medium"
157.411982809861,"GS-8","Eurosiberian","Medium"
178.391482932455,"GI-7","Eurosiberian","Medium"
